doi,title
10.1109/tvcg.2023.3341453,A Unified Particle-Based Solver for Non-Newtonian Behaviors Simulation
10.1109/tvcg.2023.3341990,Designing for Visualization in Motion: Embedding Visualizations in Swimming Videos
10.1109/tvcg.2023.3337642,InVADo: Interactive Visual Analysis of Molecular Docking Data
10.1109/tvcg.2023.3345340,Interactive Reweighting for Mitigating Label Quality Issues
10.1109/tvcg.2023.3302308,Visualizing and Comparing Machine Learning Predictions to Improve Human-AI Teaming on the Example of Cell Lineage
10.1109/tvcg.2023.3326941,Design Characterization for Black-and-White Textures in Visualization
10.1109/tvcg.2023.3330262,Wasserstein Dictionaries of Persistence Diagrams
10.1109/tvcg.2023.3323150,Eliciting Multimodal and Collaborative Interactions for Data Exploration on Large Vertical Displays
10.1109/tvcg.2023.3322372,GeoLinter: A Linting Framework for Choropleth Maps
10.1109/tvcg.2023.3326855,Adaptive Sampling of 3D Spatial Correlations for Focus+Context Visualization
10.1109/tvcg.2023.3312127,V4D: Voxel for 4D Novel View Synthesis
10.1109/tvcg.2022.3229017,V-Mail: 3D-Enabled Correspondence About Spatial Data on (Almost) All Your Devices
10.1109/tvcg.2023.3326931,Visual Analysis of Displacement Processes in Porous Media using Spatio-Temporal Flow Graphs
10.1109/tvcg.2023.3326569,Large-Scale Evaluation of Topic Models and Dimensionality Reduction Methods for 2D Text Spatialization
10.1109/tvcg.2023.3274572,A Scalable Method for Readable Tree Layouts
10.1109/tvcg.2020.3030473,Data-Driven Space-Filling Curves
10.1109/tvcg.2022.3171179,b/Surf: Interactive Bézier Splines on Surface Meshes
10.1109/tvcg.2023.3251648,Multi-User Redirected Walking in Separate Physical Spaces for Online VR Scenarios
10.1109/tvcg.2023.3261981,Parallel Computation of Piecewise Linear Morse-Smale Segmentations
10.1109/tvcg.2022.3214821,Toward Feature-Preserving Vector Field Compression
10.1109/tvcg.2023.3250166,MoReVis: A Visual Summary for Spatiotemporal Moving Regions
10.1109/tvcg.2022.3209420,Uncertainty-Aware Multidimensional Scaling
10.1109/tvcg.2023.3238008,Discrete Morse Sandwich: Fast Computation of Persistence Diagrams for Scalar Data – An Algorithm and a Benchmark
10.1109/tvcg.2023.3235277,High-Fidelity Specular SVBRDF Acquisition From Flash Photographs
10.1109/tvcg.2022.3232591,Evaluating Glyph Design for Showing Large-Magnitude-Range Quantum Spins
10.1109/tvcg.2022.3217008,Large Growth Deformations of Thin Tissue Using Solid-Shells
10.1109/tvcg.2022.3209437,Constrained Dynamic Mode Decomposition
10.1109/tvcg.2022.3215001,Principal Geodesic Analysis of Merge Trees (and Persistence Diagrams)
10.1109/tvcg.2022.3209390,BeauVis: A Validated Scale for Measuring the Aesthetic Pleasure of Visual Representations
10.1109/tvcg.2022.3209383,Striking a Balance: Reader Takeaways and Preferences when Integrating Text and Charts
10.1109/tvcg.2022.3209422,"Thirty-Two Years of IEEE VIS: Authors, Fields of Study and Citations"
10.1109/tvcg.2022.3209412,The State of the Art in BGP Visualization Tools: A Mapping of Visualization Techniques to Cyberattack Types
10.1109/tvcg.2021.3114828,Propagating Visual Designs to Numerous Plots and Dashboards
10.1109/tvcg.2022.3184186,A Unified Understanding of Deep NLP Models for Text Classification
10.1109/tvcg.2022.3209460,No Grammar to Rule Them All: A Survey of JSON-style DSLs for Visualization
10.1109/tvcg.2022.3198163,VisRecall: Quantifying Information Visualisation Recallability via Question Answering
10.1109/tvcg.2022.3190623,Influence Maximization With Visual Analytics
10.1109/tvcg.2021.3054916,VIS30K: A Collection of Figures and Tables From IEEE Visualization Conference Publications
10.1109/tvcg.2022.3184993,Visualization in Motion: A Research Agenda and Two Evaluations
10.1109/tvcg.2022.3182488,Diagnosing Ensemble Few-Shot Classifiers
10.1109/tvcg.2022.3141605,"Do You Believe Your (Social Media) Data? A Personal Story on Location Data Biases, Errors, and Plausibility as Well as Their Visualization"
10.1109/tvcg.2022.3159630,CosmoVis: An Interactive Visual Analysis Tool for Exploring Hydrodynamic Cosmological Simulations
10.1109/tvcg.2022.3151227,Multicriteria Optimization for Dynamic Demers Cartograms
10.1109/tvcg.2022.3152515,View Composition Algebra for Ad Hoc Comparison
10.1109/tvcg.2022.3155564,"Multicriteria Scalable Graph Drawing via Stochastic Gradient Descent, $(SGD)^{2}$(SGD)2"
10.1109/tvcg.2022.3148197,Visualizing Graph Neural Networks With CorGIE: Corresponding a Graph to Its Embedding
10.1109/tvcg.2021.3071387,Visual Cascade Analytics of Large-Scale Spatiotemporal Data
10.1109/tvcg.2022.3141040,FeatureEnVi: Visual Analytics for Feature Engineering Using Stepwise Selection and Semi-Automatic Extraction Approaches
10.1109/tvcg.2018.2796591,MultiStream: A Multiresolution Streamgraph Approach to Explore Hierarchical Time Series
10.1109/tvcg.2021.3138933,Towards Better Caption Supervision for Object Detection
10.1109/tvcg.2021.3122388,Deep Recursive Embedding for High-Dimensional Data
